Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,24,24,26.7,3.6,5.9,0.61,0,0,0,3.6,5.8,0.614,0.61,0.8,2.7,0.292,4.8,5.7,10.5,2.3,0.8,1,2.1,2.3,8
3,Bam Adebayo,C,25,MIA,25,25,35,8.2,15.3,0.533,0,0.4,0.1,8.1,14.9,0.544,0.534,4.4,5.3,0.841,2.3,6.9,9.2,3.3,0.9,0.7,3,3.2,20.8
4,Ochai Agbaji,SG,22,UTA,11,0,9.5,1.3,2.8,0.452,0.4,1.2,0.308,0.9,1.6,0.556,0.516,0.4,0.6,0.571,0.5,0.8,1.4,0.1,0.1,0,0,1,3.3
5,Santi Aldama,PF,22,MEM,25,16,24.9,3.6,7.7,0.469,1.3,3.7,0.355,2.3,4,0.576,0.555,1.3,1.8,0.727,1.5,4.3,5.8,1.4,0.9,1,0.6,2.6,9.8
6,Nickeil Alexander-Walker,SG,24,UTA,18,2,14,2.2,4.7,0.459,1.1,2.6,0.413,1.1,2.2,0.513,0.571,0.7,0.9,0.765,0.3,1.3,1.6,1.8,0.7,0.3,1.2,1.7,6.1
7,Grayson Allen,SG,27,MIL,23,21,27.4,3.3,7.6,0.443,2,4.8,0.409,1.4,2.8,0.5,0.572,2.2,2.4,0.927,0.9,2.7,3.6,2.7,0.8,0.2,1.2,1.5,10.9
8,Jarrett Allen,C,24,CLE,20,20,32.6,5.7,9.4,0.606,0,0.2,0,5.7,9.3,0.616,0.606,2.8,3.8,0.733,3.2,7.5,10.7,1.3,0.7,1.3,1.9,2.5,14.2
9,Jose Alvarado,PG,24,NOP,26,6,20.9,3.5,7.7,0.462,1.6,4,0.39,2,3.6,0.543,0.565,1.1,1.3,0.824,0.4,1.8,2.2,3.2,1.2,0.2,1.3,2.3,9.7
10,Kyle Anderson,PF,29,MIN,21,6,23.6,2.6,5,0.514,0.4,1,0.409,2.1,4,0.542,0.557,1.7,2,0.833,0.6,3.7,4.3,3.3,1,0.9,1.5,1.5,7.2
11,Giannis Antetokounmpo,PF,28,MIL,22,22,33.2,11.5,21.2,0.541,0.8,3.1,0.265,10.6,18.1,0.588,0.56,7.4,11.8,0.627,2,9.3,11.3,5.4,0.9,1,3.8,3.6,31.1
12,Thanasis Antetokounmpo,SF,30,MIL,12,0,3.7,0.1,0.3,0.25,0,0.1,0,0.1,0.3,0.333,0.25,0,0,,0.2,0.8,0.9,0.2,0,0.2,0.3,0.3,0.2
13,Cole Anthony,PG,22,ORL,11,3,27.2,4.8,11.1,0.434,1.5,4.1,0.378,3.3,7,0.468,0.504,2.4,2.8,0.839,0.5,3.9,4.5,3.9,1.1,0.4,1.5,3.4,13.5
14,OG Anunoby,SF,25,TOR,26,26,36.7,7.1,14.9,0.475,1.5,4.7,0.331,5.5,10.2,0.541,0.527,3.3,3.9,0.833,1.4,4.5,5.8,2.1,2.4,0.8,2.5,3,19
15,Ryan Arcidiacono,PG,28,NYK,6,0,2.7,0,0.5,0,0,0.3,0,0,0.2,0,0,0,0,,0,0.3,0.3,0.3,0.3,0,0.2,0.3,0
16,Deni Avdija,SF,22,WAS,27,24,25.4,2.9,7.1,0.406,0.8,3,0.272,2.1,4.1,0.505,0.464,1.1,1.5,0.732,0.9,4.3,5.2,2.6,0.8,0.7,1.4,3,7.7
17,Deandre Ayton,C,24,PHO,25,25,29.4,7.6,12.1,0.632,0.2,0.5,0.308,7.5,11.6,0.647,0.639,2,2.8,0.718,3,6.8,9.8,2.2,0.5,0.8,2,3,17.5
18,Udoka Azubuike,C,23,UTA,9,0,3.9,0.8,0.9,0.875,0,0,,0.8,0.9,0.875,0.875,0.2,0.7,0.333,0.4,1.3,1.8,0.3,0.2,0.2,0.2,0.2,1.8
19,Marvin Bagley III,PF,23,DET,16,13,23.6,4.8,8.8,0.543,0.4,1.4,0.318,4.3,7.4,0.585,0.568,1.5,2,0.75,2.3,4.1,6.3,0.6,0.8,0.8,1.1,2.3,11.4
20,Patrick Baldwin Jr.,SF,20,GSW,4,0,6,1,2.5,0.4,0.5,2,0.25,0.5,0.5,1,0.5,0,0,,0,1.5,1.5,0,0.8,0,0.3,0,2.5
21,LaMelo Ball,PG,21,CHO,3,3,32.7,7.3,17.7,0.415,3.3,10.7,0.313,4,7,0.571,0.509,1.3,1.7,0.8,0,3.7,3.7,7,1,0.3,3.7,2.7,19.3
22,Mo Bamba,C,24,ORL,22,5,18.8,3,6.1,0.496,1.1,2.9,0.381,2,3.3,0.597,0.585,1.2,1.6,0.722,1.1,4,5.1,1.1,0.2,0.9,0.8,2.4,8.4
23,Paolo Banchero,PF,20,ORL,21,21,34.9,7.2,15.8,0.455,0.9,3.6,0.253,6.3,12.2,0.514,0.483,6.5,8.6,0.751,1.3,5.6,6.9,3.8,0.8,0.6,3,2.2,21.8
24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,0.465,3.8,8.5,0.451,4.4,9.3,0.477,0.573,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,Dalano Banton,PG,23,TOR,20,2,10.2,2,4.8,0.417,0.7,2.1,0.317,1.4,2.8,0.491,0.484,0.7,0.8,0.875,0.5,1.1,1.6,1.2,0.6,0.5,0.7,1.1,5.4
